realization_idx,V0,log10_V0,outcome,extincted,integrated,T_int_hours,handoff_time_hours
0,1,0.0,extinct,True,False,,
1,1,0.0,extinct,True,False,,
2,1,0.0,integrated,False,True,55.60400773199891,44.591999999997746
3,1,0.0,extinct,True,False,,
4,1,0.0,integrated,False,True,55.660606822476026,44.42399999999777
5,1,0.0,integrated,False,True,55.15617343590368,44.1119999999978
6,1,0.0,extinct,True,False,,
7,1,0.0,integrated,False,True,56.15280759077886,44.44799999999776
8,1,0.0,extinct,True,False,,
9,1,0.0,extinct,True,False,,
10,1,0.0,extinct,True,False,,
11,1,0.0,integrated,False,True,56.050066019214356,44.23199999999779
12,1,0.0,extinct,True,False,,
13,1,0.0,extinct,True,False,,
14,1,0.0,extinct,True,False,,
15,1,0.0,integrated,False,True,56.2368512216666,44.807999999997726
16,1,0.0,extinct,True,False,,
17,1,0.0,extinct,True,False,,
18,1,0.0,integrated,False,True,55.14428471454094,44.1119999999978
19,1,0.0,integrated,False,True,55.291171093745795,44.35199999999777
20,1,0.0,extinct,True,False,,
21,1,0.0,extinct,True,False,,
22,1,0.0,extinct,True,False,,
23,1,0.0,integrated,False,True,55.08085011396676,44.03999999999781
24,1,0.0,extinct,True,False,,
25,1,0.0,integrated,False,True,55.66817969943165,44.71199999999774
26,1,0.0,extinct,True,False,,
27,1,0.0,integrated,False,True,55.60319683752458,44.23199999999779
28,1,0.0,extinct,True,False,,
29,1,0.0,extinct,True,False,,
30,1,0.0,extinct,True,False,,
31,1,0.0,integrated,False,True,55.212607746879485,44.23199999999779
32,1,0.0,integrated,False,True,55.115045507226114,44.1119999999978
33,1,0.0,extinct,True,False,,
34,1,0.0,extinct,True,False,,
35,1,0.0,extinct,True,False,,
36,1,0.0,extinct,True,False,,
37,1,0.0,extinct,True,False,,
38,1,0.0,integrated,False,True,55.9532868050607,44.71199999999774
39,1,0.0,integrated,False,True,54.936252274082726,43.991999999997816
40,1,0.0,extinct,True,False,,
41,1,0.0,extinct,True,False,,
42,1,0.0,integrated,False,True,55.2890214053265,44.20799999999779
43,1,0.0,integrated,False,True,55.324694216557745,44.03999999999781
44,1,0.0,integrated,False,True,56.31354217977852,44.73599999999773
45,1,0.0,integrated,False,True,55.478557960663025,44.063999999997804
46,1,0.0,extinct,True,False,,
47,1,0.0,integrated,False,True,56.027167532651085,44.903999999997716
48,1,0.0,integrated,False,True,55.220962879492035,44.20799999999779
49,1,0.0,extinct,True,False,,
50,1,0.0,extinct,True,False,,
51,1,0.0,extinct,True,False,,
52,1,0.0,integrated,False,True,56.715618569205176,45.719999999997626
53,1,0.0,extinct,True,False,,
54,1,0.0,extinct,True,False,,
55,1,0.0,integrated,False,True,56.1944398123413,44.35199999999777
56,1,0.0,integrated,False,True,55.54599989487016,43.991999999997816
57,1,0.0,extinct,True,False,,
58,1,0.0,integrated,False,True,56.523649159759216,45.16799999999768
59,1,0.0,extinct,True,False,,
60,1,0.0,extinct,True,False,,
61,1,0.0,extinct,True,False,,
62,1,0.0,integrated,False,True,56.51382189538501,45.14399999999769
63,1,0.0,extinct,True,False,,
64,1,0.0,integrated,False,True,55.4048872409649,44.39999999999777
65,1,0.0,extinct,True,False,,
66,1,0.0,integrated,False,True,55.10798117686757,44.159999999997794
67,1,0.0,extinct,True,False,,
68,1,0.0,extinct,True,False,,
69,1,0.0,extinct,True,False,,
70,1,0.0,extinct,True,False,,
71,1,0.0,integrated,False,True,55.86622861195261,44.83199999999772
72,1,0.0,extinct,True,False,,
73,1,0.0,extinct,True,False,,
74,1,0.0,extinct,True,False,,
75,1,0.0,integrated,False,True,55.87738627832563,44.1359999999978
76,1,0.0,extinct,True,False,,
77,1,0.0,extinct,True,False,,
78,1,0.0,extinct,True,False,,
79,1,0.0,extinct,True,False,,
80,1,0.0,extinct,True,False,,
81,1,0.0,extinct,True,False,,
82,1,0.0,extinct,True,False,,
83,1,0.0,integrated,False,True,54.9376070335251,43.91999999999782
84,1,0.0,integrated,False,True,55.55516865414542,44.54399999999775
85,1,0.0,integrated,False,True,56.4389930756698,45.43199999999766
86,1,0.0,integrated,False,True,55.14705765977193,44.1359999999978
87,1,0.0,extinct,True,False,,
88,1,0.0,extinct,True,False,,
89,1,0.0,integrated,False,True,55.17836896292137,44.183999999997795
90,1,0.0,integrated,False,True,55.08416339665206,44.1119999999978
91,1,0.0,extinct,True,False,,
92,1,0.0,integrated,False,True,56.05101546790155,45.14399999999769
93,1,0.0,integrated,False,True,56.10025596099848,44.32799999999778
94,1,0.0,extinct,True,False,,
95,1,0.0,extinct,True,False,,
96,1,0.0,extinct,True,False,,
97,1,0.0,integrated,False,True,55.47051157227971,44.49599999999776
98,1,0.0,extinct,True,False,,
99,1,0.0,extinct,True,False,,
100,1,0.0,integrated,False,True,55.17930413146006,44.183999999997795
101,1,0.0,extinct,True,False,,
102,1,0.0,integrated,False,True,55.930727503647404,44.75999999999773
103,1,0.0,extinct,True,False,,
104,1,0.0,integrated,False,True,57.40231708944661,46.39199999999755
105,1,0.0,integrated,False,True,55.91098515304833,44.879999999997715
106,1,0.0,extinct,True,False,,
107,1,0.0,integrated,False,True,55.06736246352387,44.063999999997804
108,1,0.0,extinct,True,False,,
109,1,0.0,integrated,False,True,56.57446973394829,45.38399999999766
110,1,0.0,integrated,False,True,56.26807546748556,44.39999999999777
111,1,0.0,extinct,True,False,,
112,1,0.0,extinct,True,False,,
113,1,0.0,integrated,False,True,56.350521265704536,45.35999999999766
114,1,0.0,integrated,False,True,55.465858529577176,44.51999999999776
115,1,0.0,extinct,True,False,,
116,1,0.0,extinct,True,False,,
