city,pep_mean_efficacy_pct,structural_delay_h,pep_24h_counterfactual_pct,efficacy_lost_to_structural_delay_pp
Hartford,78.84,24.4,79.54,0.7
PalmBeachCO,92.79,13.5,79.17,-13.62
Columbia,94.85,11.7,80.85,-14.0
NewHaven,95.01,11.5,80.96,-14.05
SanJuan,91.33,13.3,76.22,-15.11
Charleston,95.36,9.9,79.57,-15.79
BatonRouge,97.86,5.0,82.05,-15.81
Raleigh,95.46,9.7,79.55,-15.91
Tampa,97.42,5.7,80.67,-16.75
BrowardCO,97.05,6.5,80.13,-16.92
NewOrleans,97.41,5.5,80.42,-16.99
Richmond,96.3,7.8,79.28,-17.02
Orlando,97.43,5.4,80.37,-17.06
Milwaukee,98.34,1.9,81.2,-17.14
Jacksonville,96.85,6.5,79.45,-17.4
FortWorth,97.27,5.5,79.79,-17.48
OrangeCO,96.57,7.0,79.05,-17.52
Houston,95.5,8.6,77.97,-17.53
Dallas,96.98,6.1,79.28,-17.7
LosAngeles,97.45,4.8,79.68,-17.77
Atlanta,97.38,5.0,79.6,-17.78
NewYork,96.5,6.8,78.61,-17.89
SanAntonio,97.01,5.9,79.11,-17.9
Charlotte,97.47,4.7,79.56,-17.91
Austin,97.95,3.0,79.86,-18.09
Bridgeport,97.12,5.5,78.99,-18.13
HamptonRoads,96.91,5.9,78.77,-18.14
MiamiDadeCO,96.91,5.6,78.33,-18.58
ElPaso,97.51,4.0,78.78,-18.73
StLouis,97.51,3.7,78.45,-19.06
KansasCity,97.29,4.3,78.13,-19.16
Jackson,96.28,6.2,76.83,-19.45
Denver,97.52,3.4,78.01,-19.51
Phoenix,97.11,3.9,76.72,-20.39
