city,structural_delay_h,pep_mean_efficacy_pct,pep_24h_counterfactual_pct,efficacy_gain_vs_24h_counterfactual_pp
Hartford,24.4,82.39,82.98,-0.59
PalmBeachCO,13.5,93.94,82.63,11.31
NewHaven,11.5,95.81,84.12,11.69
Columbia,11.7,95.62,83.9,11.72
SanJuan,13.3,92.71,80.07,12.64
Charleston,9.9,96.12,83.02,13.1
BatonRouge,5.0,98.13,84.92,13.21
Raleigh,9.7,96.12,82.78,13.34
Tampa,5.7,97.78,83.89,13.89
BrowardCO,6.5,97.49,83.53,13.96
NewOrleans,5.5,97.79,83.72,14.07
Richmond,7.8,96.84,82.65,14.19
Orlando,5.4,97.76,83.48,14.28
Milwaukee,1.9,98.53,84.15,14.38
Jacksonville,6.5,97.32,82.85,14.47
FortWorth,5.5,97.66,83.11,14.55
OrangeCO,7.0,97.08,82.52,14.56
Bridgeport,5.5,97.61,82.88,14.73
Houston,8.6,96.14,81.41,14.73
Dallas,6.1,97.38,82.59,14.79
SanAntonio,5.9,97.44,82.59,14.85
Charlotte,4.7,97.82,82.92,14.9
Atlanta,5.0,97.72,82.78,14.94
NewYork,6.8,97.02,82.04,14.98
Austin,3.0,98.22,83.2,15.02
LosAngeles,4.8,97.76,82.73,15.03
HamptonRoads,5.9,97.37,82.29,15.08
MiamiDadeCO,5.6,97.33,81.76,15.57
ElPaso,4.0,97.83,82.1,15.73
StLouis,3.7,97.88,82.0,15.88
KansasCity,4.3,97.67,81.69,15.98
Jackson,6.2,96.81,80.41,16.4
Denver,3.4,97.81,81.25,16.56
Phoenix,3.9,97.58,80.66,16.92
