distribution,distribution_label,hours_to_pep,ci_95_width,mean_efficacy,regime,ci_width_peak_hour
pwid_untreated,PWID (untreated/unsuppressed),0.0,0.0538,0.9742,1_early_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),2.45,0.0736,0.9657,1_early_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),4.9,0.0987,0.9541,1_early_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),7.35,0.129,0.9387,1_early_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),9.8,0.1637,0.9187,1_early_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),12.24,0.2004,0.8935,1_early_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),14.69,0.2362,0.8629,1_early_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),17.14,0.2676,0.8273,1_early_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),19.59,0.2918,0.7876,1_early_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),22.04,0.3077,0.7454,2_critical_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),24.49,0.3159,0.7025,2_critical_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),26.94,0.3195,0.6606,2_critical_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),29.39,0.3234,0.6209,2_critical_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),31.84,0.3324,0.5841,2_critical_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),34.29,0.3501,0.5499,2_critical_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),36.73,0.3759,0.5174,2_critical_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),39.18,0.4058,0.4856,2_critical_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),41.63,0.4342,0.4531,2_critical_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),44.08,0.457,0.4188,2_critical_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),46.53,0.4728,0.3821,2_critical_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),48.98,0.4819,0.343,2_critical_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),51.43,0.4852,0.3018,2_critical_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),53.88,0.4835,0.2598,2_critical_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),56.33,0.4768,0.2184,2_critical_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),58.78,0.4643,0.1789,2_critical_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),61.22,0.4442,0.1428,2_critical_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),63.67,0.4146,0.111,2_critical_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),66.12,0.3738,0.084,2_critical_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),68.57,0.322,0.0619,2_critical_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),71.02,0.2627,0.0445,2_critical_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),73.47,0.2019,0.0312,2_critical_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),75.92,0.1466,0.0214,2_critical_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),78.37,0.1013,0.0143,2_critical_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),80.82,0.0674,0.0094,2_critical_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),83.27,0.0436,0.006,2_critical_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),85.71,0.0276,0.0038,2_critical_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),88.16,0.0173,0.0024,3_late_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),90.61,0.0108,0.0015,3_late_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),93.06,0.0067,0.0009,3_late_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),95.51,0.0041,0.0006,3_late_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),97.96,0.0025,0.0004,3_late_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),100.41,0.0016,0.0002,3_late_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),102.86,0.001,0.0001,3_late_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),105.31,0.0006,0.0001,3_late_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),107.76,0.0004,0.0001,3_late_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),110.2,0.0002,0.0,3_late_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),112.65,0.0001,0.0,3_late_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),115.1,0.0001,0.0,3_late_window,51.4
pwid_untreated,PWID (untreated/unsuppressed),117.55,0.0001,0.0,3_late_window,51.4
