distribution,distribution_label,hours_to_pep,mean_efficacy,median_efficacy,ci_95_lower,ci_95_upper,ci_50_lower,ci_50_upper,ci_95_width,p_below_50pct,p_below_30pct,p_futile
pwid_untreated,PWID (untreated/unsuppressed),0.0,0.9742,0.9774,0.9363,0.9901,0.9687,0.9837,0.0538,0.0,0.0,0.0
pwid_untreated,PWID (untreated/unsuppressed),2.45,0.9657,0.97,0.9144,0.988,0.958,0.9788,0.0736,0.0,0.0,0.0
pwid_untreated,PWID (untreated/unsuppressed),4.9,0.9541,0.9597,0.8863,0.985,0.9432,0.972,0.0987,0.0,0.0,0.0
pwid_untreated,PWID (untreated/unsuppressed),7.35,0.9387,0.9456,0.8516,0.9806,0.9235,0.9625,0.129,0.0,0.0,0.0
pwid_untreated,PWID (untreated/unsuppressed),9.8,0.9187,0.9267,0.8109,0.9745,0.898,0.9493,0.1637,0.0,0.0,0.0
pwid_untreated,PWID (untreated/unsuppressed),12.24,0.8935,0.902,0.7655,0.966,0.866,0.9317,0.2004,0.0,0.0,0.0
pwid_untreated,PWID (untreated/unsuppressed),14.69,0.8629,0.8711,0.7179,0.9542,0.8279,0.9085,0.2362,0.0,0.0,0.0
pwid_untreated,PWID (untreated/unsuppressed),17.14,0.8273,0.8339,0.6705,0.9381,0.7848,0.879,0.2676,0.0,0.0,0.0
pwid_untreated,PWID (untreated/unsuppressed),19.59,0.7876,0.7915,0.625,0.9168,0.7391,0.8433,0.2918,0.0,0.0,0.0
pwid_untreated,PWID (untreated/unsuppressed),22.04,0.7454,0.7463,0.5819,0.8895,0.6934,0.8021,0.3077,0.0,0.0,0.0
pwid_untreated,PWID (untreated/unsuppressed),24.49,0.7025,0.7008,0.54,0.8559,0.6504,0.7574,0.3159,0.0,0.0,0.0
pwid_untreated,PWID (untreated/unsuppressed),26.94,0.6606,0.6579,0.4968,0.8164,0.6117,0.7119,0.3195,0.0266,0.0,0.0
pwid_untreated,PWID (untreated/unsuppressed),29.39,0.6209,0.6195,0.4493,0.7726,0.5777,0.6685,0.3234,0.056,0.0,0.0
pwid_untreated,PWID (untreated/unsuppressed),31.84,0.5841,0.5865,0.3948,0.7272,0.5474,0.6296,0.3324,0.1058,0.0,0.0
pwid_untreated,PWID (untreated/unsuppressed),34.29,0.5499,0.5584,0.333,0.6831,0.519,0.5962,0.3501,0.1812,0.0176,0.0
pwid_untreated,PWID (untreated/unsuppressed),36.73,0.5174,0.5338,0.267,0.6429,0.4895,0.5684,0.3759,0.2916,0.035,0.0
pwid_untreated,PWID (untreated/unsuppressed),39.18,0.4856,0.5106,0.2024,0.6082,0.4558,0.5455,0.4058,0.436,0.0616,0.0
pwid_untreated,PWID (untreated/unsuppressed),41.63,0.4531,0.4862,0.1455,0.5797,0.4147,0.5258,0.4342,0.5774,0.1044,0.0136
pwid_untreated,PWID (untreated/unsuppressed),44.08,0.4188,0.4574,0.0999,0.557,0.3643,0.5074,0.457,0.7054,0.1634,0.0252
pwid_untreated,PWID (untreated/unsuppressed),46.53,0.3821,0.4211,0.0663,0.5391,0.3054,0.4878,0.4728,0.8146,0.2414,0.0462
pwid_untreated,PWID (untreated/unsuppressed),48.98,0.343,0.3752,0.0428,0.5247,0.2423,0.4644,0.4819,0.8914,0.3446,0.0806
pwid_untreated,PWID (untreated/unsuppressed),51.43,0.3018,0.3197,0.0272,0.5125,0.1815,0.4341,0.4852,0.9438,0.4602,0.1282
pwid_untreated,PWID (untreated/unsuppressed),53.88,0.2598,0.2581,0.0171,0.5007,0.1289,0.3944,0.4835,0.974,0.576,0.1942
pwid_untreated,PWID (untreated/unsuppressed),56.33,0.2184,0.1966,0.0107,0.4875,0.0875,0.3444,0.4768,0.9886,0.6814,0.2844
pwid_untreated,PWID (untreated/unsuppressed),58.78,0.1789,0.1417,0.0067,0.4709,0.0575,0.2858,0.4643,0.9956,0.771,0.3942
pwid_untreated,PWID (untreated/unsuppressed),61.22,0.1428,0.0973,0.0042,0.4484,0.0369,0.2239,0.4442,1.0,0.8468,0.5062
pwid_untreated,PWID (untreated/unsuppressed),63.67,0.111,0.0645,0.0026,0.4172,0.0233,0.1655,0.4146,1.0,0.9008,0.615
pwid_untreated,PWID (untreated/unsuppressed),66.12,0.084,0.0416,0.0016,0.3754,0.0146,0.1162,0.3738,1.0,0.9414,0.7132
pwid_untreated,PWID (untreated/unsuppressed),68.57,0.0619,0.0264,0.001,0.323,0.0091,0.0782,0.322,1.0,0.9682,0.8018
pwid_untreated,PWID (untreated/unsuppressed),71.02,0.0445,0.0165,0.0006,0.2633,0.0056,0.051,0.2627,1.0,0.9832,0.8712
pwid_untreated,PWID (untreated/unsuppressed),73.47,0.0312,0.0103,0.0004,0.2023,0.0035,0.0325,0.2019,1.0,0.9924,0.918
pwid_untreated,PWID (untreated/unsuppressed),75.92,0.0214,0.0064,0.0002,0.1469,0.0021,0.0205,0.1466,1.0,0.996,0.9508
pwid_untreated,PWID (untreated/unsuppressed),78.37,0.0143,0.0039,0.0002,0.1015,0.0013,0.0128,0.1013,1.0,1.0,0.9746
pwid_untreated,PWID (untreated/unsuppressed),80.82,0.0094,0.0024,0.0001,0.0675,0.0008,0.0079,0.0674,1.0,1.0,0.987
pwid_untreated,PWID (untreated/unsuppressed),83.27,0.006,0.0015,0.0001,0.0436,0.0005,0.0049,0.0436,1.0,1.0,0.9936
