distribution,distribution_label,hours_to_pep,mean_efficacy_unknown_vl_pct,mean_efficacy_known_vl_pct,premium_absolute_pct,premium_relative_pct,note
pwid_untreated,PWID (untreated/unsuppressed),0,97.4,97.4,0.0,0.0,
pwid_untreated,PWID (untreated/unsuppressed),3,96.31,96.97,0.656,0.681,
pwid_untreated,PWID (untreated/unsuppressed),6,94.74,95.67,0.938,0.99,
pwid_untreated,PWID (untreated/unsuppressed),9,92.53,93.82,1.289,1.393,
pwid_untreated,PWID (untreated/unsuppressed),12,89.57,91.25,1.681,1.877,
pwid_untreated,PWID (untreated/unsuppressed),15,85.8,87.86,2.059,2.4,
pwid_untreated,PWID (untreated/unsuppressed),18,81.3,83.65,2.346,2.886,"Non-monotonic region: 2h urgency reduction interacts with logistic inflection of seeding/integration curves — preserved as real signal, not smoothed"
pwid_untreated,PWID (untreated/unsuppressed),21,76.27,78.75,2.474,3.243,"Non-monotonic region: 2h urgency reduction interacts with logistic inflection of seeding/integration curves — preserved as real signal, not smoothed"
pwid_untreated,PWID (untreated/unsuppressed),24,71.03,73.45,2.422,3.41,"Non-monotonic region: 2h urgency reduction interacts with logistic inflection of seeding/integration curves — preserved as real signal, not smoothed"
pwid_untreated,PWID (untreated/unsuppressed),30,61.07,63.09,2.015,3.299,"Non-monotonic region: 2h urgency reduction interacts with logistic inflection of seeding/integration curves — preserved as real signal, not smoothed"
pwid_untreated,PWID (untreated/unsuppressed),36,52.6,54.41,1.814,3.449,"Non-monotonic region: 2h urgency reduction interacts with logistic inflection of seeding/integration curves — preserved as real signal, not smoothed"
pwid_untreated,PWID (untreated/unsuppressed),42,44.65,46.79,2.133,4.776,
pwid_untreated,PWID (untreated/unsuppressed),48,35.73,38.37,2.641,7.391,
pwid_untreated,PWID (untreated/unsuppressed),60,15.96,17.74,1.787,11.198,
pwid_untreated,PWID (untreated/unsuppressed),72,3.85,4.14,0.29,7.537,
pwid_mixed_treatment,PWID (mixed treatment status),0,98.32,98.32,0.0,0.0,
pwid_mixed_treatment,PWID (mixed treatment status),3,97.69,97.96,0.267,0.273,
pwid_mixed_treatment,PWID (mixed treatment status),6,96.76,97.15,0.383,0.396,
pwid_mixed_treatment,PWID (mixed treatment status),9,95.43,95.96,0.53,0.555,
pwid_mixed_treatment,PWID (mixed treatment status),12,93.56,94.26,0.697,0.745,
pwid_mixed_treatment,PWID (mixed treatment status),15,91.05,91.92,0.863,0.948,
pwid_mixed_treatment,PWID (mixed treatment status),18,87.84,88.84,0.997,1.135,"Non-monotonic region: 2h urgency reduction interacts with logistic inflection of seeding/integration curves — preserved as real signal, not smoothed"
pwid_mixed_treatment,PWID (mixed treatment status),21,83.92,84.99,1.066,1.271,"Non-monotonic region: 2h urgency reduction interacts with logistic inflection of seeding/integration curves — preserved as real signal, not smoothed"
pwid_mixed_treatment,PWID (mixed treatment status),24,79.41,80.47,1.057,1.331,"Non-monotonic region: 2h urgency reduction interacts with logistic inflection of seeding/integration curves — preserved as real signal, not smoothed"
pwid_mixed_treatment,PWID (mixed treatment status),30,69.49,70.37,0.882,1.269,"Non-monotonic region: 2h urgency reduction interacts with logistic inflection of seeding/integration curves — preserved as real signal, not smoothed"
pwid_mixed_treatment,PWID (mixed treatment status),36,60.12,60.88,0.758,1.26,"Non-monotonic region: 2h urgency reduction interacts with logistic inflection of seeding/integration curves — preserved as real signal, not smoothed"
pwid_mixed_treatment,PWID (mixed treatment status),42,52.45,53.31,0.856,1.632,
pwid_mixed_treatment,PWID (mixed treatment status),48,45.91,47.0,1.095,2.386,
pwid_mixed_treatment,PWID (mixed treatment status),60,31.41,32.27,0.863,2.748,
pwid_mixed_treatment,PWID (mixed treatment status),72,14.9,15.05,0.149,1.001,
general_community,General HIV+ community,0,98.03,98.03,0.0,0.0,
general_community,General HIV+ community,3,97.25,97.63,0.376,0.387,
general_community,General HIV+ community,6,96.11,96.65,0.543,0.565,
general_community,General HIV+ community,9,94.46,95.22,0.756,0.8,
general_community,General HIV+ community,12,92.18,93.18,1.003,1.088,
general_community,General HIV+ community,15,89.16,90.41,1.253,1.405,
