city,state,delta_t_struct_h,delta_t_pharm_h,t_acq_h,E_PEP_upper,E_PEP_lower,past_tcrit
Hartford,Connecticut,24.4,0,24.4,0.4788524443818392,0.09773934122341849,False
Hartford,Connecticut,24.4,2,26.4,0.47461937729354453,0.09708993387862865,False
Hartford,Connecticut,24.4,4,28.4,0.4677687295161878,0.09601621023936432,False
Hartford,Connecticut,24.4,6,30.4,0.4151274674299175,0.08571917494602817,False
Hartford,Connecticut,24.4,8,32.4,0.17478807971405988,0.036568764678837774,False
Hartford,Connecticut,24.4,10,34.4,0.0046850789475847456,0.0010089287371462833,True
Hartford,Connecticut,24.4,12,36.4,0.0,0.0,True
SanJuan,"Puerto
Rico",13.3,0,13.3,0.9718242707508022,0.19744746560598714,False
SanJuan,"Puerto
Rico",13.3,2,15.3,0.9702120482758326,0.197187014555504,False
SanJuan,"Puerto
Rico",13.3,4,17.3,0.9681578370994111,0.19686582715936893,False
SanJuan,"Puerto
Rico",13.3,6,19.3,0.9655079754634085,0.19646004062577554,False
SanJuan,"Puerto
Rico",13.3,8,21.3,0.9620182618536792,0.19593135048850557,False
SanJuan,"Puerto
Rico",13.3,10,23.3,0.48055250565472296,0.09799749413679229,False
SanJuan,"Puerto
Rico",13.3,12,25.3,0.4771623080099463,0.09748125374056739,False
PalmBeachCO,Florida,13.5,0,13.5,0.9716823360436557,0.19742400420161227,False
PalmBeachCO,Florida,13.5,2,15.5,0.9700319119607596,0.19715840614133137,False
PalmBeachCO,Florida,13.5,4,17.5,0.9679273324647892,0.19683019016474296,False
PalmBeachCO,Florida,13.5,6,19.5,0.9652083118475684,0.19641444610308023,False
PalmBeachCO,Florida,13.5,8,21.5,0.9616188624556574,0.19587097737682044,False
PalmBeachCO,Florida,13.5,10,23.5,0.4802751770095026,0.09795548557917833,False
PalmBeachCO,Florida,13.5,12,25.5,0.4767568818799407,0.09741918961404579,False
Columbia,"South
Carolina",11.7,0,11.7,0.9728650854031045,0.19762278870293945,False
Columbia,"South
Carolina",11.7,2,13.7,0.9715317432132469,0.19739939360331893,False
Columbia,"South
Carolina",11.7,4,15.7,0.9698405246928598,0.19712824844212862,False
Columbia,"South
Carolina",11.7,6,17.7,0.9676816439939222,0.19679239320251465,False
Columbia,"South
Carolina",11.7,8,19.7,0.9648872146821855,0.1963657114032033,False
Columbia,"South
Carolina",11.7,10,21.7,0.7698478287383348,0.15682075289244757,False
Columbia,"South
Carolina",11.7,12,23.7,0.4799720850055336,0.09790949015343191,False
NewHaven,Connecticut,11.5,0,11.5,0.9729839053523568,0.19764324293275262,False
NewHaven,Connecticut,11.5,2,13.5,0.9716823360436557,0.19742400420161227,False
NewHaven,Connecticut,11.5,4,15.5,0.9700319119607596,0.19715840614133137,False
NewHaven,Connecticut,11.5,6,17.5,0.9679273324647892,0.19683019016474296,False
NewHaven,Connecticut,11.5,8,19.5,0.9652083118475684,0.19641444610308023,False
NewHaven,Connecticut,11.5,10,21.5,0.9616188624556574,0.19587097737682044,False
NewHaven,Connecticut,11.5,12,23.5,0.4802751770095026,0.09795548557917833,False
Charleston,"South
Carolina",9.9,0,9.9,0.9739251569829173,0.20059079533439494,False
