city,state,region,viral_suppression_pct,late_dx_pct,linkage_to_care_pct,idu_prevalence_pct,idu_new_dx_pct,new_dx_cases,prevalence_rate,gini,poverty_pct,mean_log10,sd_log10,estimated_structural_delay_h,delay_category
Atlanta,Georgia,South,65.4,19.4,77.9,2.9407999999999994,1.2704,1730.0,875.0,0.468,11.0,2.549,1.604,5.0,low_barrier
Austin,Texas,South,67.8,20.6,86.4,3.3693999999999997,,338.0,423.0,0.461,9.9,2.478,1.575,3.0,low_barrier
BatonRouge,Louisiana,South,77.8,15.9,78.8,8.335799999999999,,128.0,1072.0,0.477,16.0,2.196,1.417,5.0,low_barrier
Bridgeport,Connecticut,Northeast,67.6,18.7,81.3,16.6284,,64.0,331.0,0.544,9.4,2.532,1.597,5.5,low_barrier
BrowardCO,Florida,South,69.7,18.7,75.5,3.8604000000000003,,582.0,1309.0,0.508,13.1,2.423,1.549,6.5,low_barrier
Charleston,"South
Carolina",South,66.9,22.8,73.4,4.1681,,81.0,457.0,0.479,11.2,2.508,1.588,9.9,moderate_barrier
Charlotte,"North
Carolina",South,66.3,20.0,79.3,3.6025,,283.0,796.0,0.476,10.5,2.524,1.594,4.7,low_barrier
Columbia,"South
Carolina",South,72.0,28.4,89.0,5.722599999999999,,116.0,671.0,0.467,14.7,2.361,1.517,11.7,moderate_barrier
Dallas,Texas,South,64.3,20.0,73.9,2.5298999999999996,2.181,910.0,927.0,0.464,10.5,2.58,1.616,6.1,low_barrier
Denver,Colorado,West,56.8,20.8,85.3,4.0342,,273.0,434.0,0.449,8.2,2.811,1.683,3.4,low_barrier
ElPaso,Texas,South,61.6,17.7,82.3,3.3626,,120.0,416.0,0.465,18.9,2.664,1.645,4.0,low_barrier
FortWorth,Texas,South,67.5,20.0,76.1,4.977,5.642,314.0,422.0,0.464,10.5,2.493,1.581,5.5,low_barrier
HamptonRoads,Virginia,South,63.0,20.1,73.9,6.1592,5.951199999999998,270.0,521.0,0.446,10.9,2.632,1.634,5.9,low_barrier
Hartford,Connecticut,Northeast,69.0,37.2,82.1,23.4212,,70.0,340.0,0.467,9.8,2.514,1.59,24.4,high_barrier
Houston,Texas,South,57.8,22.1,75.2,4.44,1.9804,1297.0,774.0,0.483,13.6,2.782,1.677,8.6,moderate_barrier
Jackson,Mississippi,South,51.8,14.3,76.2,3.2830000000000004,,108.0,782.0,0.49,17.4,2.958,1.708,6.2,low_barrier
Jacksonville,Florida,South,66.2,19.8,72.6,6.3096000000000005,4.2536000000000005,327.0,623.0,0.465,12.1,2.537,1.599,6.5,low_barrier
KansasCity,Missouri,Midwest,59.4,16.7,78.9,4.577,,121.0,500.0,0.451,10.0,2.734,1.665,4.3,low_barrier
LosAngeles,California,West,65.2,19.0,79.9,3.274,4.127000000000001,1587.0,588.0,0.491,12.6,2.556,1.607,4.8,low_barrier
MiamiDadeCO,Florida,South,59.7,18.2,78.4,3.5775,,1007.0,1239.0,0.508,13.1,2.722,1.661,5.6,low_barrier
Milwaukee,Wisconsin,Midwest,73.3,14.6,88.5,5.6195,,119.0,476.0,0.471,12.4,2.321,1.496,1.9,low_barrier
NewHaven,Connecticut,Northeast,75.1,28.3,90.0,21.6096,,71.0,454.0,0.478,11.6,2.325,1.498,11.5,moderate_barrier
NewOrleans,Louisiana,South,71.0,17.5,80.1,5.7879000000000005,7.2011,246.0,780.0,0.509,18.3,2.391,1.533,5.5,low_barrier
NewYork,"New
York",Northeast,62.1,21.2,79.6,10.3672,1.2752,1603.0,1356.0,0.514,12.4,2.674,1.648,6.8,low_barrier
OrangeCO,California,West,64.3,23.3,85.9,5.877599999999999,6.5268,258.0,273.0,0.491,12.6,2.592,1.62,7.0,low_barrier
Orlando,Florida,South,69.7,20.7,79.0,6.1561,1.7109999999999999,618.0,652.0,0.462,11.8,2.431,1.553,5.4,low_barrier
PalmBeachCO,Florida,South,64.8,25.9,75.9,4.994400000000001,,296.0,677.0,0.508,13.1,2.574,1.614,13.5,moderate_barrier
Phoenix,Arizona,West,53.6,20.2,81.3,5.837,3.7960000000000003,586.0,374.0,0.455,11.2,2.913,1.702,3.9,low_barrier
Raleigh,"North
Carolina",South,65.5,24.1,77.3,3.83,,148.0,419.0,0.449,8.6,2.549,1.604,9.7,moderate_barrier
Richmond,Virginia,South,65.2,21.9,75.8,7.119,,188.0,504.0,0.461,10.0,2.57,1.612,7.8,low_barrier
SanAntonio,Texas,South,64.5,19.9,74.2,4.2632,2.6728,402.0,411.0,0.46,13.4,2.58,1.616,5.9,low_barrier
SanJuan,"Puerto
Rico",-1,52.1,16.1,63.0,22.152700000000003,,290.0,627.0,0.547,37.9,3.017,1.715,13.3,moderate_barrier
StLouis,Missouri,Midwest,61.0,20.4,83.6,3.2775999999999996,,203.0,569.0,0.466,10.3,2.682,1.65,3.7,low_barrier
Tampa,Florida,South,72.0,20.0,76.3,6.359999999999999,5.327999999999999,491.0,560.0,0.479,12.2,2.363,1.519,5.7,low_barrier
