distribution,hours_to_pep,mean_efficacy_pct,ci_95_lower_pct,ci_95_upper_pct,p_futile_pct
pwid_untreated,0,96.98,92.38,98.91,0.0
pwid_untreated,12,87.58,72.43,96.1,0.0
pwid_untreated,24,65.46,47.06,83.52,0.0
pwid_untreated,48,29.07,4.09,43.75,9.06
pwid_untreated,72,3.09,0.04,18.84,91.85
pwid_mixed_treatment,0,98.08,94.1,99.18,0.0
pwid_mixed_treatment,12,92.37,77.02,97.62,0.0
pwid_mixed_treatment,24,75.43,51.47,89.67,0.0
pwid_mixed_treatment,48,37.77,8.07,47.15,3.15
pwid_mixed_treatment,72,11.95,0.09,33.05,56.48
general_community,0,97.73,94.08,99.15,0.0
general_community,12,90.71,76.94,97.46,0.0
general_community,24,71.24,51.39,89.0,0.0
general_community,48,34.88,7.97,46.64,3.45
general_community,72,6.87,0.09,31.69,76.05
acute_infection_enriched,0,96.34,91.97,98.5,0.0
acute_infection_enriched,12,85.0,71.44,93.9,0.0
acute_infection_enriched,24,61.16,46.04,76.54,0.0
acute_infection_enriched,48,23.99,3.53,40.97,13.79
acute_infection_enriched,72,1.23,0.04,7.02,98.78
