claim_id,expected_value,computed_value,match,notes
t_crit_par_v3_cv03,34.5,34.5,✓,
t_crit_muc_v3_cv03,60.5,60.5,✓,
t_crit_par_v3_cv0,32.5,32.5,✓,
t_crit_muc_v3_cv0,57.5,57.5,✓,
compression_ratio_v3_cv03,1.75,1.75,✓,
p_extinct_muc_v3_cv03,68.4,68.4,✓,
p_extinct_par_v3_cv03,0.0,0.0,✓,
F_access_at_t_crit_par,0.0699,0.0699,✓,
F_access_at_t_crit_par_alt,0.144,0.144,✓,
bound_envelope_par,11.3,11.3,✓,
bound_envelope_par_jid_consistent,18.0,18.0,✓,
tsai_24h_cv03,0.50 vs 1.00,0.50 vs 1.00,✓,
tsai_48h_cv03,0.00 vs 0.50,0.00 vs 0.50,✓,
otten_12h_cv03,0.95 vs 1.00,0.95 vs 1.00,✓,
otten_36h_cv03,0.95 vs 1.00,0.95 vs 1.00,✓,
otten_72h_cv03,0.0158 vs 0.50,0.0158 vs 0.50,✓,
arch_current_policy_R0_zero,0.003,0.003,✓,
pwid_sim_current_policy_R0_zero,0.007,0.007,✓,
pwid_sim_decrim_R0_zero,0.814,0.814,✓,
arch_msm_comparison,16.3,16.3,✓,
outbreak_5yr_national,73.8,73.8,✓,
outbreak_10yr_national,92.7,92.74,✓,
outbreak_median_yrs,3.0,3.0,✓,
outbreak_pnw_5yr,86.3,86.35,✓,
