city,state,late_dx_pct,retention,delta_t_struct_h,delta_t_pharmacy_h,delta_t_total_h,E_PEP_R3,past_t_crit
Hartford,Connecticut,37.2,0.821,24.4,0,24.4,0.4788524443818392,False
Hartford,Connecticut,37.2,0.821,24.4,2,26.4,0.47461937729354453,False
Hartford,Connecticut,37.2,0.821,24.4,4,28.4,0.4677687295161878,False
Hartford,Connecticut,37.2,0.821,24.4,6,30.4,0.4151274674299175,False
Hartford,Connecticut,37.2,0.821,24.4,8,32.4,0.17478807971405988,False
Hartford,Connecticut,37.2,0.821,24.4,10,34.4,0.0046850789475847456,True
Hartford,Connecticut,37.2,0.821,24.4,12,36.4,0.0,True
SanJuan,"Puerto
Rico",16.1,0.63,13.3,0,13.3,0.9718242707508022,False
SanJuan,"Puerto
Rico",16.1,0.63,13.3,2,15.3,0.9702120482758326,False
SanJuan,"Puerto
Rico",16.1,0.63,13.3,4,17.3,0.9681578370994111,False
SanJuan,"Puerto
Rico",16.1,0.63,13.3,6,19.3,0.9655079754634085,False
SanJuan,"Puerto
Rico",16.1,0.63,13.3,8,21.3,0.9620182618536792,False
SanJuan,"Puerto
Rico",16.1,0.63,13.3,10,23.3,0.48055250565472296,False
SanJuan,"Puerto
Rico",16.1,0.63,13.3,12,25.3,0.4771623080099463,False
PalmBeachCO,Florida,25.9,0.759,13.5,0,13.5,0.9716823360436557,False
PalmBeachCO,Florida,25.9,0.759,13.5,2,15.5,0.9700319119607596,False
PalmBeachCO,Florida,25.9,0.759,13.5,4,17.5,0.9679273324647892,False
PalmBeachCO,Florida,25.9,0.759,13.5,6,19.5,0.9652083118475684,False
PalmBeachCO,Florida,25.9,0.759,13.5,8,21.5,0.9616188624556574,False
PalmBeachCO,Florida,25.9,0.759,13.5,10,23.5,0.4802751770095026,False
PalmBeachCO,Florida,25.9,0.759,13.5,12,25.5,0.4767568818799407,False
Columbia,"South
Carolina",28.4,0.89,11.7,0,11.7,0.9728650854031045,False
Columbia,"South
Carolina",28.4,0.89,11.7,2,13.7,0.9715317432132469,False
Columbia,"South
Carolina",28.4,0.89,11.7,4,15.7,0.9698405246928598,False
Columbia,"South
Carolina",28.4,0.89,11.7,6,17.7,0.9676816439939222,False
Columbia,"South
Carolina",28.4,0.89,11.7,8,19.7,0.9648872146821855,False
Columbia,"South
Carolina",28.4,0.89,11.7,10,21.7,0.7698478287383348,False
Columbia,"South
Carolina",28.4,0.89,11.7,12,23.7,0.4799720850055336,False
NewHaven,Connecticut,28.3,0.9,11.5,0,11.5,0.9729839053523568,False
NewHaven,Connecticut,28.3,0.9,11.5,2,13.5,0.9716823360436557,False
NewHaven,Connecticut,28.3,0.9,11.5,4,15.5,0.9700319119607596,False
NewHaven,Connecticut,28.3,0.9,11.5,6,17.5,0.9679273324647892,False
NewHaven,Connecticut,28.3,0.9,11.5,8,19.5,0.9652083118475684,False
NewHaven,Connecticut,28.3,0.9,11.5,10,21.5,0.9616188624556574,False
