city,structural_delay_h,pep_mean_efficacy_pct,p_futile_pct
Hartford,24.4,78.79,0.0
SanJuan,13.3,91.32,0.0
PalmBeachCO,13.5,92.79,0.0
Columbia,11.7,94.85,0.0
NewHaven,11.5,95.01,0.0
Charleston,9.9,95.36,0.0
Raleigh,9.7,95.46,0.0
Houston,8.6,95.5,0.0
Jackson,6.2,96.28,0.0
Richmond,7.8,96.3,0.0
NewYork,6.8,96.5,0.0
OrangeCO,7.0,96.57,0.0
Jacksonville,6.5,96.85,0.0
MiamiDadeCO,5.6,96.91,0.0
HamptonRoads,5.9,96.91,0.0
Dallas,6.1,96.98,0.0
SanAntonio,5.9,97.01,0.0
BrowardCO,6.5,97.05,0.0
Phoenix,3.9,97.11,0.0
Bridgeport,5.5,97.12,0.0
FortWorth,5.5,97.27,0.0
KansasCity,4.3,97.29,0.0
Atlanta,5.0,97.38,0.0
NewOrleans,5.5,97.41,0.0
Tampa,5.7,97.42,0.0
Orlando,5.4,97.43,0.0
LosAngeles,4.8,97.45,0.0
Charlotte,4.7,97.46,0.0
StLouis,3.7,97.51,0.0
ElPaso,4.0,97.51,0.0
Denver,3.4,97.52,0.0
BatonRouge,5.0,97.86,0.0
Austin,3.0,97.94,0.0
Milwaukee,1.9,98.34,0.0
