city,city_name,state,region,population,prevalence_cases,prevalence_rate,new_dx_rate,new_dx_cases,viral_suppression_pct,late_dx_pct,linkage_to_care_pct,idu_prevalence_pct,idu_new_dx_pct,male_idu_prev_pct,female_idu_prev_pct,gini,poverty_pct,housing_burden_pct,mean_log10,sd_log10,vs_frac_used,unsupp_frac_used,vl_profile,median_vl_copies_ml,estimated_structural_delay_h,delay_category,late_dx_component_h,linkage_component_h,sdoh_component_h,estimated_annual_pwid_exposures
Atlanta,Atlanta,Georgia,South,6109782.0,44756.0,875.0,31.0,1730.0,65.4,19.4,77.9,2.9407999999999994,1.2704,2.0,6.8,0.468,11.0,14.7,2.549,1.604,0.65,0.35,moderate_burden,354.0,5.0,low_barrier,0.0,3.6,1.4,110
Austin,Austin,Texas,South,2296657.0,8135.0,423.0,16.0,338.0,67.8,20.6,86.4,3.3693999999999997,,1.8,13.6,0.461,9.9,14.7,2.478,1.575,0.674,0.326,low_burden,301.0,3.0,low_barrier,0.7,1.1,1.2,0
BatonRouge,"Baton
Rouge",Louisiana,South,453223.0,4084.0,1072.0,35.0,128.0,77.8,15.9,78.8,8.335799999999999,,7.7,9.4,0.477,16.0,13.5,2.196,1.417,0.768,0.232,low_burden,157.0,5.0,low_barrier,0.0,3.4,1.6,0
Bridgeport,Bridgeport,Connecticut,Northeast,957499.0,2686.0,331.0,9.0,64.0,67.6,18.7,81.3,16.6284,,15.4,19.1,0.544,9.4,18.9,2.532,1.597,0.656,0.344,moderate_burden,340.0,5.5,low_barrier,0.0,2.6,2.9,0
BrowardCO,BrowardCO,Florida,South,1944357.0,21819.0,1309.0,34.0,582.0,69.7,18.7,75.5,3.8604000000000003,,2.8,7.2,0.508,13.1,23.1,2.423,1.549,0.692,0.308,low_burden,265.0,6.5,low_barrier,0.0,4.3,2.2,0
Charleston,Charleston,"South
Carolina",South,475712.0,1851.0,457.0,20.0,81.0,66.9,22.8,73.4,4.1681,,3.6,5.9,0.479,11.2,14.5,2.508,1.588,0.664,0.336,moderate_burden,322.0,9.9,moderate_barrier,3.4,5.0,1.6,0
Charlotte,Charlotte,"North
Carolina",South,1125589.0,7481.0,796.0,29.0,283.0,66.3,20.0,79.3,3.6025,,3.0,5.5,0.476,10.5,12.6,2.524,1.594,0.659,0.341,moderate_burden,334.0,4.7,low_barrier,0.0,3.2,1.5,0
Columbia,Columbia,"South
Carolina",South,695679.0,3953.0,671.0,26.0,116.0,72.0,28.4,89.0,5.722599999999999,,4.1,10.2,0.467,14.7,14.2,2.361,1.517,0.713,0.287,low_burden,229.0,11.7,moderate_barrier,10.1,0.3,1.3,0
Dallas,Dallas,Texas,South,2828994.0,21649.0,927.0,36.0,910.0,64.3,20.0,73.9,2.5298999999999996,2.181,1.1,9.0,0.464,10.5,14.8,2.58,1.616,0.64,0.36,moderate_burden,380.0,6.1,low_barrier,0.0,4.8,1.3,99
Denver,"Denver
Metro
Area",Colorado,West,2925462.0,10726.0,434.0,14.0,273.0,56.8,20.8,85.3,4.0342,,2.8,13.0,0.449,8.2,14.5,2.811,1.683,0.563,0.437,moderate_burden,646.0,3.4,low_barrier,1.0,1.4,1.0,0
